phase,A1_actionId,C_actionId,n_context,A1_spinId,C_spinId,EV,count,train_winrate,usage_rate
front3,15,5,3103,5,3,0.49482725447519427,16,0.3125,0.00515630035449565
front3,15,6,3103,5,0,0.001263047912377762,2,0.0,0.0006445375443119562
front3,15,6,3103,5,1,0.49411585575504263,247,0.38461538461538464,0.07960038672252659
front3,15,6,3103,5,2,0.5006541889995831,7,0.42857142857142855,0.0022558814050918467
front3,15,6,3103,5,3,0.5376309945455285,62,0.6774193548387096,0.019980663873670642
front3,15,6,3103,5,5,0.622072574930583,2,0.0,0.0006445375443119562
front3,15,7,3103,5,1,0.45560005035529266,46,0.4782608695652174,0.014824363519174991
front3,15,7,3103,5,3,0.4727224564933924,5,0.4,0.0016113438607798904
front3,15,7,3103,5,5,0.620241694199227,1,1.0,0.0003222687721559781
front3,15,8,3103,5,1,0.37874128339882734,10,0.3,0.003222687721559781
front3,15,8,3103,5,2,0.39344238607510945,1,0.0,0.0003222687721559781
front3,15,8,3103,5,3,0.39162394399590994,9,0.4444444444444444,0.0029004189494038026
front3,15,8,3103,5,4,0.6009002079069687,10,0.6,0.003222687721559781
front3,15,9,3103,5,2,0.4508021025087383,9,0.4444444444444444,0.0029004189494038026
front3,15,9,3103,5,3,0.41319807409522136,4,0.25,0.0012890750886239124
front3,15,9,3103,5,5,0.6096355329959596,4,0.75,0.0012890750886239124
front3,15,10,3103,5,0,0.001059901476127562,3,0.0,0.0009668063164679343
front3,15,10,3103,5,1,0.399719911708836,2,0.0,0.0006445375443119562
front3,15,10,3103,5,2,0.41843136788772756,486,0.46502057613168724,0.15662262326780535
front3,15,10,3103,5,3,0.3456125883739565,23,0.21739130434782608,0.007412181759587496
front3,15,10,3103,5,4,0.5550645872521222,2,0.5,0.0006445375443119562
front3,15,10,3103,5,5,0.5105955663332952,10,0.4,0.003222687721559781
front3,15,11,3103,5,0,0.0011628498973163279,2,0.0,0.0006445375443119562
front3,15,11,3103,5,2,0.4521866171822566,198,0.4797979797979798,0.06380921688688367
front3,15,11,3103,5,3,0.36400277655295027,16,0.1875,0.00515630035449565
front3,15,11,3103,5,4,0.5695580981338245,2,0.5,0.0006445375443119562
front3,15,11,3103,5,5,0.5222278461612208,3,0.3333333333333333,0.0009668063164679343
front3,15,12,3103,5,0,0.0013400148300658017,1,0.0,0.0003222687721559781
front3,15,12,3103,5,2,0.4892557215608244,116,0.47413793103448276,0.037383177570093455
front3,15,12,3103,5,3,0.43064329508203125,11,0.6363636363636364,0.003544956493715759
front3,15,12,3103,5,4,0.623788171971594,1,0.0,0.0003222687721559781
front3,15,12,3103,5,5,0.5781320680772439,9,0.6666666666666666,0.0029004189494038026
front3,15,13,3103,5,0,0.0012235454835335157,4,0.0,0.0012890750886239124
front3,15,13,3103,5,1,0.3579350274062968,67,0.34328358208955223,0.02159200773445053
front3,15,13,3103,5,2,0.36343691161709973,6,0.5,0.0019336126329358686
front3,15,13,3103,5,3,0.3176793022345442,140,0.32857142857142857,0.045117628101836935
front3,15,13,3103,5,4,0.6836528168433947,2,1.0,0.0006445375443119562
front3,15,13,3103,5,5,0.6865417571333206,1,1.0,0.0003222687721559781
front3,15,14,3103,5,1,0.26102052153440797,2,0.0,0.0006445375443119562
front3,16,1,57,1,1,0.5363925804088112,8,0.625,0.14035087719298245
front3,16,2,57,1,1,0.5329587316956581,5,0.6,0.08771929824561403
front3,16,3,57,1,1,0.575293017725068,1,0.0,0.017543859649122806
front3,16,5,57,1,1,0.5147053442193354,12,0.6666666666666666,0.21052631578947367
front3,16,6,57,1,1,0.5132174233165382,18,0.3888888888888889,0.3157894736842105
front3,16,6,57,1,3,0.5442440480869611,1,1.0,0.017543859649122806
