A1_actionId,C_actionId,A1_playerId,use_count,win_rate,usage_share
15,5,156,2,0.0,0.0037105751391465678
15,5,157,8,0.25,0.014842300556586271
15,5,159,1,1.0,0.0018552875695732839
15,5,160,3,0.0,0.0055658627087198514
15,5,161,1,1.0,0.0018552875695732839
15,6,0,5,0.2,0.005165289256198347
15,6,2,3,0.0,0.0030991735537190084
15,6,3,4,0.75,0.004132231404958678
15,6,8,13,0.3076923076923077,0.013429752066115703
15,6,9,1,0.0,0.0010330578512396695
15,6,10,2,0.5,0.002066115702479339
15,6,12,2,1.0,0.002066115702479339
15,6,13,7,0.42857142857142855,0.007231404958677686
15,6,15,1,0.0,0.0010330578512396695
15,6,16,1,0.0,0.0010330578512396695
15,6,20,1,1.0,0.0010330578512396695
15,6,21,15,0.2,0.015495867768595042
15,6,23,1,0.0,0.0010330578512396695
15,6,24,3,0.0,0.0030991735537190084
15,6,25,4,0.5,0.004132231404958678
15,6,28,2,0.5,0.002066115702479339
15,6,31,11,0.45454545454545453,0.011363636363636364
15,6,33,1,1.0,0.0010330578512396695
15,6,34,5,0.8,0.005165289256198347
15,6,35,8,0.625,0.008264462809917356
15,6,36,8,0.625,0.008264462809917356
15,6,37,1,1.0,0.0010330578512396695
15,6,38,1,1.0,0.0010330578512396695
15,6,40,2,0.0,0.002066115702479339
15,6,41,2,0.5,0.002066115702479339
15,6,42,2,0.5,0.002066115702479339
15,6,46,1,0.0,0.0010330578512396695
15,6,47,2,0.5,0.002066115702479339
15,6,49,1,1.0,0.0010330578512396695
15,6,50,12,0.5833333333333334,0.012396694214876033
15,6,52,11,0.45454545454545453,0.011363636363636364
15,6,53,11,0.36363636363636365,0.011363636363636364
15,6,55,7,0.14285714285714285,0.007231404958677686
15,6,57,1,0.0,0.0010330578512396695
15,6,58,8,0.5,0.008264462809917356
15,6,61,6,0.5,0.006198347107438017
15,6,62,1,0.0,0.0010330578512396695
15,6,64,73,0.6027397260273972,0.07541322314049587
15,6,68,6,0.6666666666666666,0.006198347107438017
15,6,69,2,1.0,0.002066115702479339
15,6,70,5,0.4,0.005165289256198347
15,6,71,29,0.41379310344827586,0.029958677685950414
15,6,72,42,0.5952380952380952,0.04338842975206612
15,6,73,4,0.5,0.004132231404958678
15,6,76,5,0.4,0.005165289256198347
15,6,80,2,0.5,0.002066115702479339
15,6,81,1,1.0,0.0010330578512396695
15,6,82,1,1.0,0.0010330578512396695
15,6,83,2,0.5,0.002066115702479339
15,6,84,1,1.0,0.0010330578512396695
15,6,85,6,0.5,0.006198347107438017
15,6,89,2,0.0,0.002066115702479339
15,6,90,5,0.2,0.005165289256198347
15,6,92,3,1.0,0.0030991735537190084
15,6,93,1,0.0,0.0010330578512396695
15,6,96,82,0.36585365853658536,0.08471074380165289
15,6,98,3,0.3333333333333333,0.0030991735537190084
15,6,100,3,0.0,0.0030991735537190084
15,6,101,42,0.4523809523809524,0.04338842975206612
15,6,103,1,1.0,0.0010330578512396695
15,6,104,10,0.5,0.010330578512396695
15,6,105,3,1.0,0.0030991735537190084
15,6,106,52,0.4423076923076923,0.05371900826446281
15,6,107,6,0.6666666666666666,0.006198347107438017
15,6,108,8,0.125,0.008264462809917356
15,6,109,1,0.0,0.0010330578512396695
15,6,110,3,0.3333333333333333,0.0030991735537190084
15,6,111,2,1.0,0.002066115702479339
15,6,112,19,0.2631578947368421,0.01962809917355372
15,6,113,9,0.4444444444444444,0.009297520661157025
15,6,115,6,0.3333333333333333,0.006198347107438017
15,6,116,6,0.6666666666666666,0.006198347107438017
15,6,117,8,0.375,0.008264462809917356
15,6,118,7,0.2857142857142857,0.007231404958677686
15,6,119,2,1.0,0.002066115702479339
15,6,121,2,0.5,0.002066115702479339
15,6,122,38,0.5526315789473685,0.03925619834710744
15,6,123,1,0.0,0.0010330578512396695
15,6,126,5,0.6,0.005165289256198347
15,6,128,31,0.45161290322580644,0.03202479338842975
15,6,129,18,0.5555555555555556,0.01859504132231405
15,6,130,2,0.5,0.002066115702479339
15,6,132,18,0.5,0.01859504132231405
15,6,136,51,0.6470588235294118,0.05268595041322314
15,6,138,29,0.5172413793103449,0.029958677685950414
15,6,139,1,1.0,0.0010330578512396695
15,6,140,13,0.6153846153846154,0.013429752066115703
15,6,142,1,0.0,0.0010330578512396695
15,6,144,37,0.5675675675675675,0.038223140495867766
15,6,145,6,0.5,0.006198347107438017
15,6,147,2,0.5,0.002066115702479339
15,6,148,1,1.0,0.0010330578512396695
15,6,149,1,0.0,0.0010330578512396695
15,6,150,14,0.5,0.014462809917355372
15,6,151,1,0.0,0.0010330578512396695
15,6,152,4,0.25,0.004132231404958678
15,6,153,5,1.0,0.005165289256198347
15,6,154,2,0.5,0.002066115702479339
15,6,156,3,0.0,0.0030991735537190084
15,6,157,23,0.5217391304347826,0.023760330578512397
15,6,158,5,0.2,0.005165289256198347
15,6,159,8,0.375,0.008264462809917356
15,6,160,3,0.6666666666666666,0.0030991735537190084
15,6,161,7,0.5714285714285714,0.007231404958677686
15,6,162,2,0.5,0.002066115702479339
15,6,164,4,0.25,0.004132231404958678
15,7,0,2,1.0,0.0091324200913242
15,7,6,2,1.0,0.0091324200913242
15,7,13,1,1.0,0.0045662100456621
15,7,15,2,0.5,0.0091324200913242
15,7,16,3,0.3333333333333333,0.0136986301369863
15,7,18,3,0.6666666666666666,0.0136986301369863
15,7,20,1,1.0,0.0045662100456621
15,7,21,3,0.6666666666666666,0.0136986301369863
15,7,24,1,0.0,0.0045662100456621
15,7,28,1,0.0,0.0045662100456621
15,7,31,3,1.0,0.0136986301369863
15,7,33,2,0.5,0.0091324200913242
15,7,35,3,0.3333333333333333,0.0136986301369863
15,7,38,2,0.5,0.0091324200913242
15,7,54,4,0.5,0.0182648401826484
15,7,69,2,0.0,0.0091324200913242
15,7,70,7,0.42857142857142855,0.0319634703196347
15,7,71,4,0.0,0.0182648401826484
15,7,72,12,0.5,0.0547945205479452
15,7,73,1,1.0,0.0045662100456621
15,7,76,9,0.6666666666666666,0.0410958904109589
15,7,80,1,1.0,0.0045662100456621
15,7,81,2,0.5,0.0091324200913242
15,7,86,3,0.3333333333333333,0.0136986301369863
15,7,87,1,1.0,0.0045662100456621
15,7,89,1,1.0,0.0045662100456621
15,7,90,3,0.3333333333333333,0.0136986301369863
15,7,96,20,0.4,0.091324200913242
15,7,98,1,0.0,0.0045662100456621
15,7,100,7,0.5714285714285714,0.0319634703196347
