phase,A1_actionId,C_actionId,n_context,B1_playerId,EV,count,train_winrate,usage_rate
late,1,1,88,11,0.5670953654677157,40,0.625,0.45454545454545453
late,1,2,88,11,0.5483707382140315,5,0.2,0.056818181818181816
late,1,3,88,11,0.57170013079275,15,0.7333333333333333,0.17045454545454544
late,1,5,88,11,0.5154467317544756,1,1.0,0.011363636363636364
late,1,6,88,11,0.5161465862368316,1,1.0,0.011363636363636364
late,1,10,88,11,0.4489444749647319,6,0.3333333333333333,0.06818181818181818
late,1,11,88,11,0.43757227252524,7,0.42857142857142855,0.07954545454545454
late,1,13,88,11,0.2584114542704578,13,0.23076923076923078,0.14772727272727273
late,2,1,5,11,0.5645728934674814,1,1.0,0.2
late,2,2,5,11,0.5494084385467263,1,1.0,0.2
late,2,3,5,11,0.5803512318681896,1,1.0,0.2
late,2,11,5,11,0.40606100457093597,2,0.5,0.4
late,3,1,16,11,0.5652234984669824,5,0.4,0.3125
late,3,2,16,11,0.551540927919441,4,0.75,0.25
late,3,3,16,11,0.5871965530859709,5,1.0,0.3125
late,3,11,16,11,0.42144568112115277,1,1.0,0.0625
late,3,14,16,11,0.1975144983426168,1,0.0,0.0625
late,4,11,1,11,0.5241500620455244,1,1.0,1.0
late,5,1,4,11,0.5634615278394369,1,0.0,0.25
late,5,13,4,11,0.27382611807013,3,0.0,0.75
late,6,2,2,11,0.5119420967790993,1,0.0,0.5
late,6,3,2,11,0.5127286182005888,1,0.0,0.5
late,7,2,2,11,0.6250018756266627,1,0.0,0.5
late,7,5,2,11,0.6197474825672067,1,1.0,0.5
late,10,1,25,11,0.6024525327494374,17,0.8235294117647058,0.68
late,10,5,25,11,0.5639081406062699,2,0.5,0.08
late,10,10,25,11,0.5096179308442557,1,1.0,0.04
late,10,13,25,11,0.3216486215677867,5,0.0,0.2
late,11,1,10,11,0.5975162126970126,4,0.5,0.4
late,11,6,10,11,0.5626083111666402,1,0.0,0.1
late,11,13,10,11,0.2771498508164082,5,0.2,0.5
late,13,1,15,11,0.4368995684606187,3,0.3333333333333333,0.2
late,13,2,15,11,0.42273975060489577,1,0.0,0.06666666666666667
late,13,5,15,11,0.40151691916391213,1,0.0,0.06666666666666667
late,13,13,15,11,0.16665173957213414,9,0.0,0.6
late,13,14,15,11,0.1466578968326113,1,0.0,0.06666666666666667
late,14,2,3,11,0.477138269404598,1,0.0,0.3333333333333333
late,14,13,3,11,0.20294281891624388,1,0.0,0.3333333333333333
late,14,14,3,11,0.17820631749969817,1,0.0,0.3333333333333333
late,1,1,5,12,0.5049334714110445,1,0.0,0.2
late,1,5,5,12,0.47718023962492107,1,0.0,0.2
late,1,6,5,12,0.4783146703419453,3,0.6666666666666666,0.6
late,2,6,1,12,0.4258906773489422,1,1.0,1.0
late,3,3,5,12,0.5825720737515045,3,1.0,0.6
late,3,13,5,12,0.20143571946747266,2,0.0,0.4
